d000.s00000.t00000 bn:00106124a
d000.s00057.t00000 bn:00089240v
d000.s00057.t00001 bn:00092816v
d000.s00057.t00002 bn:00114234r
d000.s00058.t00000 bn:00092816v
d000.s00058.t00001 bn:00087128v
d000.s00058.t00002 bn:00006513n
d000.s00059.t00000 bn:00084532v
d000.s00060.t00000 bn:00091135v
d000.s00060.t00001 bn:00112990a
d000.s00060.t00002 bn:00106554a
d000.s00060.t00003 bn:00035412n
d000.s00060.t00004 bn:00047235n
d000.s00061.t00000 bn:00108566a
d000.s00061.t00001 bn:00032093n
d000.s00062.t00000 bn:00087372v
d000.s00062.t00001 bn:00030721n
d000.s00062.t00002 bn:00030618n
d000.s00063.t00000 bn:00036837n
d000.s00063.t00001 bn:00101930a
d000.s00063.t00002 bn:00060109n
d000.s00063.t00003 bn:00062759n
d000.s00063.t00004 bn:00084331v
d000.s00063.t00005 bn:00046999n
d000.s00063.t00006 bn:00082291v
d000.s00064.t00000 bn:00046568n
d000.s00064.t00001 bn:00081593n
d000.s00064.t00002 bn:00064584n
d000.s00064.t00003 bn:00086013v
d000.s00064.t00004 bn:00032654n
d000.s00065.t00000 bn:00041871n
d000.s00066.t00000 bn:00023235n
d000.s00066.t00001 bn:00083183v
d000.s00067.t00000 bn:00032661n
d000.s00067.t00001 bn:00027022n
d000.s00067.t00002 bn:00027728n
d000.s00067.t00003 bn:00029890n
d000.s00068.t00000 bn:00036574n
d000.s00068.t00001 bn:00114626r
d000.s00068.t00002 bn:00030618n
d000.s00069.t00000 bn:00013379n
d000.s00069.t00001 bn:00082195v
d000.s00069.t00002 bn:00019848n
d000.s00070.t00000 bn:00030618n
d000.s00070.t00001 bn:00009904n
d000.s00071.t00000 bn:00115192r
d000.s00072.t00000 bn:00062759n
d000.s00072.t00001 bn:00090294v
d000.s00072.t00002 bn:00085261v
d000.s00073.t00000 bn:00009905n
d000.s00073.t00001 bn:00087829v
d000.s00074.t00000 bn:00056857n
d000.s00074.t00001 bn:00010395n
d000.s00074.t00002 bn:00065106n
d000.s00074.t00003 bn:00050802n
d000.s00074.t00004 bn:00081593n
d000.s00075.t00000 bn:00021286n
d000.s00075.t00001 bn:00045979n
d000.s00075.t00002 bn:00104094a
d000.s00076.t00000 bn:00065750n
d000.s00076.t00001 bn:00037180n
d000.s00076.t00002 bn:00030618n
d000.s00077.t00000 bn:00015596n
d000.s00077.t00001 bn:00088815v
d000.s00077.t00002 bn:00081593n
d000.s00077.t00003 bn:00007405n
d000.s00077.t00004 bn:00008378n
d000.s00077.t00005 bn:00086557v
d000.s00077.t00006 bn:00003601n
d000.s00077.t00007 bn:00021286n
d000.s00077.t00008 bn:00087372v
d000.s00078.t00000 bn:00088825v
d000.s00078.t00001 bn:00035910n
d000.s00078.t00002 bn:00029680n
d000.s00079.t00000 bn:00081593n
d000.s00079.t00001 bn:00115635r
d000.s00079.t00002 bn:00085261v
d000.s00079.t00003 bn:00115147r
d000.s00079.t00004 bn:00083193v
d000.s00080.t00000 bn:00026308n
d000.s00080.t00001 bn:00022995n
d000.s00081.t00000 bn:00086708v
d000.s00081.t00001 bn:00101236a
d000.s00082.t00000 bn:00009904n
d000.s00082.t00001 bn:00027407n
d000.s00082.t00002 bn:00029416n
d000.s00082.t00003 bn:00025954n
d000.s00082.t00004 bn:00082812v
d000.s00082.t00005 bn:00008870n
d000.s00082.t00006 bn:00029685n
d000.s00083.t00000 bn:00046996n
d000.s00084.t00000 bn:00025588n
d000.s00085.t00000 bn:00114246r
d000.s00085.t00001 bn:00115235r
d000.s00085.t00002 bn:00106554a
d000.s00085.t00003 bn:00007985n
d000.s00086.t00000 bn:00087672v
d000.s00086.t00001 bn:00019848n
d000.s00086.t00002 bn:00022995n
d000.s00086.t00003 bn:00033729n
d000.s00087.t00000 bn:00090224v
d000.s00087.t00001 bn:00028114n
d000.s00087.t00002 bn:00017099n
d000.s00087.t00003 bn:00012419n
d000.s00088.t00000 bn:00091493v
d000.s00088.t00001 bn:00009904n
d000.s00088.t00002 bn:00114234r
d000.s00089.t00000 bn:00030618n
d000.s00089.t00001 bn:00082722v
d000.s00089.t00002 bn:00092103v
d000.s00089.t00003 bn:00067456n
d000.s00090.t00000 bn:00106517a
d000.s00090.t00001 bn:00066995n
d000.s00090.t00002 bn:00081593n
d000.s00091.t00000 bn:00117048r
d000.s00091.t00001 bn:00082954v
d000.s00091.t00002 bn:00030618n
d000.s00091.t00003 bn:00086682v
d000.s00091.t00004 bn:00036855n
d000.s00091.t00005 bn:00023333n
d000.s00092.t00000 bn:00114246r
d000.s00092.t00001 bn:00067807n
d000.s00092.t00002 bn:00020446n
d000.s00092.t00003 bn:00032654n
d000.s00092.t00004 bn:00116326r
d000.s00092.t00005 bn:00082705v
d000.s00093.t00000 bn:00020419n
d000.s00094.t00000 bn:00106125a
d000.s00094.t00001 bn:00044137n
d000.s00094.t00002 bn:00014561n
d000.s00094.t00003 bn:00082530v
d000.s00094.t00004 bn:00027728n
d000.s00095.t00000 bn:00020414n
d000.s00095.t00001 bn:00093472v
d000.s00095.t00002 bn:00014561n
d000.s00095.t00003 bn:00082536v
d000.s00095.t00004 bn:00081593n
d000.s00095.t00005 bn:00026308n
d000.s00095.t00006 bn:00041942n
d000.s00096.t00000 bn:00089785v
d000.s00097.t00000 bn:00054996n
d000.s00097.t00001 bn:00090224v
d000.s00097.t00002 bn:00027656n
d000.s00097.t00003 bn:00022129n
d000.s00098.t00000 bn:00021286n
d000.s00099.t00000 bn:00061125n
d000.s00100.t00000 bn:00106755a
d000.s00100.t00001 bn:00077268n
d000.s00100.t00002 bn:00085623v
d000.s00101.t00000 bn:00061406n
d000.s00101.t00001 bn:00114778r
d000.s00101.t00002 bn:00021394n
d000.s00101.t00003 bn:00019848n
d000.s00102.t00000 bn:00084931v
d000.s00103.t00000 bn:00083184v
d000.s00103.t00001 bn:00032604n
d000.s00103.t00002 bn:00020497n
d000.s00104.t00000 bn:00081593n
d000.s00104.t00001 bn:00114778r
d000.s00104.t00002 bn:00062759n
d000.s00105.t00000 bn:00055644n
d000.s00105.t00001 bn:00047080n
d000.s00105.t00002 bn:00021286n
d000.s00106.t00000 bn:00062759n
d000.s00106.t00001 bn:00114778r
d000.s00106.t00002 bn:00081593n
d000.s00107.t00000 bn:00083184v
d000.s00107.t00001 bn:00115635r
d000.s00107.t00002 bn:00046272n
d000.s00107.t00003 bn:00092756v
d000.s00108.t00000 bn:00091493v
d000.s00108.t00001 bn:00044415n
d000.s00108.t00002 bn:00030618n
d000.s00108.t00003 bn:00095812v
d000.s00109.t00000 bn:00045952n
d000.s00110.t00000 bn:00044415n
d000.s00110.t00001 bn:00106755a
d000.s00110.t00002 bn:00059125n
d000.s00111.t00000 bn:00114778r
d000.s00111.t00001 bn:00115274r
d000.s00111.t00002 bn:00101358a
d000.s00111.t00003 bn:00081593n
d000.s00111.t00004 bn:00093474v
d000.s00112.t00000 bn:00115147r
d000.s00112.t00001 bn:00036512n
d000.s00112.t00002 bn:00076770n
d000.s00112.t00003 bn:00087802v
d000.s00112.t00004 bn:00010678n
d000.s00113.t00000 bn:00084079v
d000.s00113.t00001 bn:00034394n
d000.s00113.t00002 bn:00019944n
d000.s00114.t00000 bn:00030618n
d000.s00114.t00001 bn:00095812v
d000.s00114.t00002 bn:00044415n
d000.s00114.t00003 bn:00029416n
d000.s00115.t00000 bn:00084079v
d000.s00116.t00000 bn:00079724n
d000.s00116.t00001 bn:00094551v
d000.s00116.t00002 bn:00014561n
d000.s00117.t00000 bn:00055446n
d000.s00117.t00001 bn:00089309v
d000.s00117.t00002 bn:00104348a
d000.s00117.t00003 bn:00053993n
d000.s00117.t00004 bn:00022996n
d000.s00117.t00005 bn:00037022n
d000.s00118.t00000 bn:00014561n
d000.s00118.t00001 bn:00091177v
d000.s00118.t00002 bn:00014731n
d000.s00118.t00003 bn:00022996n
d000.s00119.t00000 bn:00072921n
d000.s00119.t00001 bn:00093282v
d000.s00119.t00002 bn:00027594n
d000.s00120.t00000 bn:00014561n
d000.s00120.t00001 bn:00051760n
d000.s00121.t00000 bn:00113490a
d000.s00121.t00001 bn:00064590n
d000.s00121.t00002 bn:00055094n
d000.s00121.t00003 bn:00003125n
d000.s00122.t00000 bn:00087063v
d000.s00122.t00001 bn:00098887a
d000.s00122.t00002 bn:00046568n
d000.s00123.t00000 bn:00027451n
d000.s00123.t00001 bn:00044415n
d000.s00123.t00002 bn:00084079v
d000.s00124.t00000 bn:00054625n
d000.s00124.t00001 bn:00005599n
d000.s00124.t00002 bn:00044415n
d000.s00125.t00000 bn:00114246r
d000.s00125.t00001 bn:00026105n
d000.s00125.t00002 bn:00087128v
d000.s00125.t00003 bn:00044415n
d000.s00126.t00000 bn:00087731v
d000.s00126.t00001 bn:00029416n
d000.s00126.t00002 bn:00034394n
d000.s00126.t00003 bn:00087128v
d000.s00126.t00004 bn:00078738n
d000.s00127.t00000 bn:00028247n
d000.s00128.t00000 bn:00028247n
d000.s00128.t00001 bn:00093287v
d000.s00129.t00000 bn:00027813n
d000.s00130.t00000 bn:00032600n
d000.s00131.t00000 bn:00020688n
d000.s00131.t00001 bn:00034004n
d000.s00131.t00002 bn:00032892n
d000.s00131.t00003 bn:00042049n
d000.s00131.t00004 bn:00028247n
d000.s00131.t00005 bn:00084848v
d000.s00132.t00000 bn:00116295r
d000.s00132.t00001 bn:00098282a
d000.s00132.t00002 bn:00083904v
d000.s00133.t00000 bn:00083552v
d000.s00133.t00001 bn:00083184v
d000.s00133.t00002 bn:00107151a
d000.s00133.t00003 bn:00025583n
d000.s00134.t00000 bn:00044994n
d000.s00134.t00001 bn:00098342a
d000.s00134.t00002 bn:00008824n
d000.s00134.t00003 bn:00081285n
d000.s00134.t00004 bn:00063323n
d000.s00135.t00000 bn:00101358a
d000.s00136.t00000 bn:00062020n
d000.s00137.t00000 bn:00093287v
d000.s00137.t00001 bn:00114281r
d000.s00138.t00000 bn:00117315r
d000.s00139.t00000 bn:00103299a
d000.s00139.t00001 bn:00042759n
d000.s00139.t00002 bn:00092138v
d000.s00139.t00003 bn:00061334n
d000.s00139.t00004 bn:00083340v
d000.s00139.t00005 bn:00058145n
d000.s00139.t00006 bn:00090400v
d000.s00139.t00007 bn:00093287v
d000.s00139.t00008 bn:00092443v
d000.s00140.t00000 bn:00093287v
d000.s00140.t00001 bn:00076767n
d000.s00140.t00002 bn:00084387v
d000.s00141.t00000 bn:00028425n
d000.s00141.t00001 bn:00087116v
d000.s00141.t00002 bn:00103601a
d000.s00142.t00000 bn:00022801n
d000.s00142.t00001 bn:00093287v
d000.s00143.t00000 bn:00116052r
d000.s00143.t00001 bn:00026809n
d000.s00143.t00002 bn:00084343v
d000.s00144.t00000 bn:00090448v
d000.s00144.t00001 bn:00058145n
d000.s00145.t00000 bn:00011193n
d000.s00145.t00001 bn:00052341n
d000.s00145.t00002 bn:00051423n
d000.s00145.t00003 bn:00077028n
d000.s00145.t00004 bn:00056135n
d000.s00146.t00000 bn:00051423n
d000.s00146.t00001 bn:00077028n
d000.s00146.t00002 bn:00086708v
d000.s00147.t00000 bn:00077824n
d000.s00147.t00001 bn:00056200n
d000.s00147.t00002 bn:00102647a
d000.s00147.t00003 bn:00058442n
d000.s00148.t00000 bn:00087787v
d000.s00148.t00001 bn:00077084n
d000.s00148.t00002 bn:00011193n
d000.s00149.t00000 bn:00011193n
d000.s00149.t00001 bn:00052341n
d000.s00149.t00002 bn:00043383n
d000.s00149.t00003 bn:00012679n
d000.s00149.t00004 bn:00012886n
d000.s00150.t00000 bn:00083943v
d000.s00151.t00000 bn:00022191n
d000.s00151.t00001 bn:00095489v
d000.s00151.t00002 bn:00026809n
d000.s00151.t00003 bn:00012886n
d000.s00151.t00004 bn:00084343v
d000.s00151.t00005 bn:00027206n
d000.s00152.t00000 bn:00054884n
d000.s00152.t00001 bn:00000127n
d000.s00153.t00000 bn:00083943v
d000.s00154.t00000 bn:00083184v
d000.s00154.t00001 bn:00093287v
d000.s00155.t00000 bn:00048242n
d000.s00155.t00001 bn:00051488n
d000.s00156.t00000 bn:00086942v
d000.s00157.t00000 bn:00105982a
d000.s00157.t00001 bn:00093287v
d000.s00157.t00002 bn:00083834v
d000.s00158.t00000 bn:00090460v
d000.s00158.t00001 bn:00032045n
d000.s00158.t00002 bn:00085321v
d000.s00159.t00000 bn:00036292n
d000.s00159.t00001 bn:00093287v
d000.s00159.t00002 bn:00117323r
d000.s00159.t00003 bn:00008364n
d000.s00159.t00004 bn:00008378n
d000.s00160.t00000 bn:00036292n
d000.s00160.t00001 bn:00051488n
d000.s00160.t00002 bn:00036823n
d000.s00160.t00003 bn:00025583n
d000.s00161.t00000 bn:00075094n
d000.s00161.t00001 bn:00082470v
d000.s00161.t00002 bn:00015784n
d000.s00162.t00000 bn:00036292n
d000.s00162.t00001 bn:00032175n
d000.s00162.t00002 bn:00117250r
d000.s00162.t00003 bn:00089240v
d000.s00162.t00004 bn:00114246r
d000.s00162.t00005 bn:00045824n
d000.s00163.t00000 bn:00022026n
d000.s00163.t00001 bn:00089845v
d000.s00163.t00002 bn:00090143v
d000.s00164.t00000 bn:00069614n
d000.s00164.t00001 bn:00005091n
d000.s00165.t00000 bn:00092763v
d000.s00165.t00001 bn:00005093n
d000.s00166.t00000 bn:00114281r
d000.s00166.t00001 bn:00062020n
d000.s00166.t00002 bn:00082705v
d000.s00166.t00003 bn:00084387v
d000.s00166.t00004 bn:00093287v
d000.s00166.t00005 bn:00088939v
d000.s00166.t00006 bn:00026000n
d000.s00167.t00000 bn:00093287v
d000.s00167.t00001 bn:00007051n
d000.s00168.t00000 bn:00070164n
d000.s00168.t00001 bn:00110561a
d000.s00168.t00002 bn:00103751a
d000.s00169.t00000 bn:00100545a
d000.s00169.t00001 bn:00007051n
d000.s00170.t00000 bn:00068243n
d000.s00170.t00001 bn:00014169n
d000.s00170.t00002 bn:00107267a
d000.s00170.t00003 bn:00013722n
d000.s00171.t00000 bn:00071511n
d000.s00171.t00001 bn:00005007n
d000.s00171.t00002 bn:00041807n
d000.s00171.t00003 bn:00057623n
d000.s00172.t00000 bn:00109485a
d000.s00172.t00001 bn:00033729n
d000.s00172.t00002 bn:00020592n
d000.s00172.t00003 bn:00014160n
d000.s00172.t00004 bn:00108760a
d000.s00172.t00005 bn:00003269n
d000.s00172.t00006 bn:00053531n
d000.s00172.t00007 bn:00007051n
d000.s00172.t00008 bn:00018346n
d000.s00172.t00009 bn:00034021n
d000.s00172.t00010 bn:00096385a
d000.s00172.t00011 bn:00059168n
d000.s00173.t00000 bn:00114203r
d000.s00173.t00001 bn:00114246r
d000.s00174.t00000 bn:00104094a
d000.s00174.t00001 bn:00082412v
d000.s00174.t00002 bn:00004710n
d000.s00174.t00003 bn:00001734n
d000.s00174.t00004 bn:00093287v
d000.s00174.t00005 bn:00115253r
d000.s00174.t00006 bn:00114626r
d000.s00175.t00000 bn:00092683v
d000.s00176.t00000 bn:00022526n
d000.s00176.t00001 bn:00076666n
d000.s00177.t00000 bn:00025336n
d000.s00177.t00001 bn:00058593n
d000.s00177.t00002 bn:00046922n
d000.s00178.t00000 bn:00042403n
d000.s00178.t00001 bn:00107267a
d000.s00178.t00002 bn:00076666n
d000.s00179.t00000 bn:00089240v
d000.s00179.t00001 bn:00041881n
d000.s00179.t00002 bn:00082553v
d000.s00179.t00003 bn:00025582n
d000.s00180.t00000 bn:00089083v
d000.s00181.t00000 bn:00086682v
d000.s00181.t00001 bn:00102356a
d000.s00181.t00002 bn:00041942n
d000.s00182.t00000 bn:00076666n
d000.s00182.t00001 bn:00082690v
d000.s00182.t00002 bn:00090142v
d000.s00182.t00003 bn:00003125n
d000.s00182.t00004 bn:00086682v
d000.s00182.t00005 bn:00114282r
d000.s00183.t00000 bn:00078738n
d000.s00184.t00000 bn:00078738n
d000.s00184.t00001 bn:00087189v
d000.s00184.t00002 bn:00083293v
d000.s00184.t00003 bn:00001734n
d000.s00185.t00000 bn:00085574v
d000.s00185.t00001 bn:00092443v
d000.s00186.t00000 bn:00086557v
d000.s00187.t00000 bn:00046922n
d000.s00187.t00001 bn:00091073v
d000.s00187.t00002 bn:00087189v
d000.s00188.t00000 bn:00001592n
d000.s00188.t00001 bn:00093452v
d000.s00189.t00000 bn:00076666n
d000.s00189.t00001 bn:00092424v
d000.s00190.t00000 bn:00026386n
d000.s00190.t00001 bn:00114282r
d000.s00190.t00002 bn:00089324v
d000.s00191.t00000 bn:00082317v
d000.s00191.t00001 bn:00051048n
d000.s00191.t00002 bn:00001435n
d000.s00191.t00003 bn:00085477v
d000.s00191.t00004 bn:00008364n
d000.s00191.t00005 bn:00082362v
d000.s00191.t00006 bn:00029416n
d000.s00191.t00007 bn:00030922n
d000.s00192.t00000 bn:00114246r
d000.s00193.t00000 bn:00009992n
d000.s00193.t00001 bn:00051508n
d000.s00193.t00002 bn:00056758n
d000.s00193.t00003 bn:00112923a
d000.s00194.t00000 bn:00009459n
d000.s00194.t00001 bn:00011388n
d000.s00194.t00002 bn:00036538n
d000.s00194.t00003 bn:00003601n
d000.s00194.t00004 bn:00028114n
d000.s00194.t00005 bn:00009992n
d000.s00194.t00006 bn:00091493v
d000.s00194.t00007 bn:00016402n
d000.s00194.t00008 bn:00025582n
d000.s00195.t00000 bn:00078738n
d000.s00195.t00001 bn:00010679n
d000.s00195.t00002 bn:00090795v
d000.s00196.t00000 bn:00084733v
d000.s00197.t00000 bn:00009992n
d000.s00197.t00001 bn:00087452v
d000.s00198.t00000 bn:00083184v
d000.s00198.t00001 bn:00056758n
d000.s00198.t00002 bn:00092513v
d000.s00199.t00000 bn:00089662v
d000.s00200.t00000 bn:00087372v
d000.s00200.t00001 bn:00076666n
d000.s00200.t00002 bn:00088204v
d000.s00200.t00003 bn:00025582n
d000.s00200.t00004 bn:00116326r
d000.s00200.t00005 bn:00056758n
d000.s00200.t00006 bn:00082412v
d000.s00200.t00007 bn:00007051n
d000.s00201.t00000 bn:00107786a
d000.s00201.t00001 bn:00061450n
d000.s00201.t00002 bn:00089240v
d000.s00202.t00000 bn:00085321v
d000.s00202.t00001 bn:00104162a
d000.s00203.t00000 bn:00034394n
d000.s00203.t00001 bn:00055644n
d000.s00203.t00002 bn:00093287v
d000.s00204.t00000 bn:00117070r
d000.s00204.t00001 bn:00089240v
d000.s00204.t00002 bn:00099540a
d000.s00204.t00003 bn:00084308v
d000.s00204.t00004 bn:00062576n
d000.s00204.t00005 bn:00000746n
d000.s00204.t00006 bn:00033813n
d000.s00204.t00007 bn:00046942n
d000.s00204.t00008 bn:00104693a
d000.s00204.t00009 bn:00001734n
d000.s00205.t00000 bn:00092421v
d000.s00205.t00001 bn:00087372v
d000.s00205.t00002 bn:00055644n
d000.s00206.t00000 bn:00007117n
d000.s00207.t00000 bn:00007117n
d000.s00207.t00001 bn:00089724v
d000.s00208.t00000 bn:00027422n
d000.s00208.t00001 bn:00025916n
d000.s00209.t00000 bn:00104302a
d000.s00209.t00001 bn:00001434n
d000.s00210.t00000 bn:00029416n
d000.s00210.t00001 bn:00082901v
d000.s00211.t00000 bn:00007051n
d000.s00211.t00001 bn:00090143v
d000.s00211.t00002 bn:00101973a
d000.s00211.t00003 bn:00094089v
d000.s00212.t00000 bn:00091708v
d000.s00212.t00001 bn:00041010n
d000.s00212.t00002 bn:00082690v
d000.s00212.t00003 bn:00083391v
d000.s00212.t00004 bn:00020039n
d000.s00212.t00005 bn:00030625n
d000.s00212.t00006 bn:00114455r
d000.s00212.t00007 bn:00027686n
d000.s00213.t00000 bn:00083340v
d000.s00213.t00001 bn:00077172n
d000.s00214.t00000 bn:00093287v
d000.s00214.t00001 bn:00114245r
d000.s00214.t00002 bn:00085261v
d000.s00214.t00003 bn:00085413v
d000.s00215.t00000 bn:00045632n
d000.s00215.t00001 bn:00032175n
d000.s00216.t00000 bn:00053238n
d000.s00216.t00001 bn:00102778a
d000.s00217.t00000 bn:00087864v
d000.s00218.t00000 bn:00114216r
d000.s00218.t00001 bn:00027620n
d000.s00218.t00002 bn:00007051n
d000.s00219.t00000 bn:00086370v
d000.s00219.t00001 bn:00047354n
d000.s00219.t00002 bn:00036292n
d000.s00219.t00003 bn:00105982a
d000.s00219.t00004 bn:00032175n
d000.s00219.t00005 bn:00085567v
d000.s00219.t00006 bn:00028248n
d000.s00220.t00000 bn:00009992n
d000.s00221.t00000 bn:00001533n
d000.s00221.t00001 bn:00094863v
d000.s00222.t00000 bn:00046922n
d000.s00222.t00001 bn:00090142v
d000.s00222.t00002 bn:00088939v
d000.s00223.t00000 bn:00114216r
d000.s00223.t00001 bn:00007781n
d000.s00224.t00000 bn:00089240v
d000.s00224.t00001 bn:00001303n
d000.s00225.t00000 bn:00087441v
d000.s00225.t00001 bn:00078738n
d000.s00225.t00002 bn:00107786a
d000.s00225.t00003 bn:00013047n
d000.s00225.t00004 bn:00040605n
d000.s00225.t00005 bn:00036569n
d000.s00225.t00006 bn:00014155n
d000.s00226.t00000 bn:00004836n
d000.s00226.t00001 bn:00035305n
d000.s00226.t00002 bn:00095974a
d000.s00226.t00003 bn:00014169n
d000.s00227.t00000 bn:00096720a
d000.s00227.t00001 bn:00004836n
d000.s00227.t00002 bn:00006129n
d000.s00227.t00003 bn:00016205n
d000.s00227.t00004 bn:00024534n
d000.s00228.t00000 bn:00089105v
d000.s00228.t00001 bn:00058564n
d000.s00229.t00000 bn:00067125n
d000.s00229.t00001 bn:00055794n
d000.s00229.t00002 bn:00116211r
d000.s00229.t00003 bn:00091493v
d000.s00229.t00004 bn:00068233n
d000.s00229.t00005 bn:00032303n
